リストラ: (日本),武道館: (日本),鬼滅: (日本),払い戻し: (日本),不動産: (日本),avex: (日本),イギリス: (日本),sony music: (日本),PCR 検査陽性者数(単日),終値,label
26.0,29.0,19.0,29.0,72.0,40.0,13.0,40.0,798.0,22751.61,0
54.0,35.0,22.0,27.0,79.0,30.0,13.0,80.0,937.0,22195.38,1
38.0,27.0,19.0,22.0,63.0,29.0,13.0,59.0,693.0,22750.24,0
47.0,50.0,21.0,26.0,80.0,19.0,12.0,35.0,294.0,23511.62,1
73.0,68.0,100.0,22.0,79.0,16.0,12.0,22.0,724.0,23418.51,1
46.0,64.0,82.0,23.0,74.0,12.0,14.0,15.0,1137.0,24325.23,1
46.0,58.0,59.0,29.0,78.0,28.0,12.0,29.0,1686.0,26014.62,1
45.0,55.0,52.0,24.0,72.0,14.0,15.0,74.0,2948.0,26756.24,0
38.0,71.0,53.0,29.0,70.0,20.0,20.0,99.0,1776.0,26714.42,0
38.0,71.0,53.0,29.0,70.0,20.0,20.0,99.0,3714.0,26668.35,1
38.0,71.0,53.0,29.0,70.0,20.0,20.0,99.0,3813.0,26656.61,1
37.0,62.0,31.0,33.0,75.0,12.0,17.0,36.0,7844.0,28139.03,0
48.0,71.0,26.0,35.0,85.0,20.0,17.0,36.0,5841.0,28456.59,1
48.0,71.0,26.0,35.0,85.0,20.0,17.0,36.0,5841.0,28456.59,1
42.0,59.0,23.0,21.0,89.0,11.0,15.0,67.0,5300.0,28633.46,1
